NI (c) Historical Data Viewer v2.0                             
Created: 04.12.2019 14:41:40.020 W. Europe Standard Time
Number of rows: 781
Interpolation interval: 1 seconds

Row;Time;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Indikator 2;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Leitfähigkeit;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Temperatur
579;14:33:41.549;1;6.5301;63.2801
580;14:33:42.549;1;6.5301;63.2801
581;14:33:43.549;1;6.5301;63.2801
582;14:33:44.549;1;6.5301;63.2801
583;14:33:45.549;1;6.5301;63.2801
584;14:33:46.549;1;6.5301;63.2801
585;14:33:47.549;1;6.52604;63.2801
586;14:33:48.549;1;6.52;63.2801
587;14:33:49.549;1;6.52;63.2801
588;14:33:50.549;1;6.52;63.2801
589;14:33:51.549;1;6.52;63.2801
590;14:33:52.549;1;6.52;63.2801
591;14:33:53.549;1;6.52;63.2801
592;14:33:54.549;1;6.52;63.2801
593;14:33:55.549;1;6.52;63.2801
594;14:33:56.549;1;6.52;63.2801
595;14:33:57.549;1;6.52;63.2801
596;14:33:58.549;1;6.52;63.2801
597;14:33:59.549;1;6.52;63.2801
598;14:34:00.549;1;6.52;63.2801
599;14:34:01.549;1;6.51602;63.2801
600;14:34:02.549;1;6.5101;63.2801
601;14:34:03.549;1;6.5101;63.2801
602;14:34:04.549;1;6.5101;63.2801
603;14:34:05.549;1;6.5101;63.2801
604;14:34:06.549;1;6.5101;63.2801
605;14:34:07.549;1;6.5101;63.2801
606;14:34:08.549;1;6.5101;63.2801
607;14:34:09.549;1;6.5101;63.2801
608;14:34:10.549;1;6.5101;63.2801
609;14:34:11.549;1;6.50608;63.2801
610;14:34:12.549;1;6.5001;63.2801
611;14:34:13.549;1;6.5001;63.2801
612;14:34:14.549;1;6.5001;63.2801
613;14:34:15.549;1;6.5001;63.2801
614;14:34:16.549;1;6.5001;63.2841
615;14:34:17.549;1;6.5001;63.286
616;14:34:18.549;1;6.5001;63.2801
617;14:34:19.549;1;6.5001;63.2801
618;14:34:20.549;1;6.5001;63.2801
619;14:34:21.549;1;6.5001;63.2801
620;14:34:22.549;1;6.5001;63.2801
621;14:34:23.549;1;6.5001;63.2841
622;14:34:24.549;1;6.5001;63.29
623;14:34:25.549;1;6.49607;63.29
624;14:34:26.549;1;6.4901;63.286
625;14:34:27.549;1;6.4901;63.2801
626;14:34:28.549;1;6.4901;63.2841
627;14:34:29.549;1;6.4901;63.29
628;14:34:30.549;1;6.4901;63.29
629;14:34:31.549;1;6.4901;63.29
630;14:34:32.549;1;6.4901;63.29
631;14:34:33.549;1;6.4901;63.29
632;14:34:34.549;1;6.4901;63.29
633;14:34:35.549;1;6.4901;63.29
634;14:34:36.549;1;6.4901;63.29
635;14:34:37.549;1;6.4901;63.29
636;14:34:38.549;1;6.4901;63.29
637;14:34:39.549;1;6.4901;63.29
638;14:34:40.549;1;6.4901;63.29
639;14:34:41.549;1;6.4901;63.29
640;14:34:42.549;1;6.4901;63.29
641;14:34:43.549;1;6.48607;63.29
642;14:34:44.549;1;6.4801;63.29
643;14:34:45.549;1;6.4801;63.29
644;14:34:46.549;1;6.4801;63.29
645;14:34:47.549;1;6.4801;63.29
646;14:34:48.549;1;6.4801;63.29
647;14:34:49.549;1;6.4801;63.29
648;14:34:50.549;1;6.4801;63.29
649;14:34:51.549;1;6.4801;63.29
650;14:34:52.549;1;6.48006;63.29
651;14:34:53.549;1;6.48;63.29
